image,caption,psum,psum_sq
9298_G O lion rampant.jpg,G O lion rampant,796153.0,591254.4375
5303_A V lion rampant.jpg,A V lion rampant,751802.4375,589576.125
22583_G A 3 lions.jpg,G A 3 lions,677805.1875,474229.0625
1087_A G 3 lions.jpg,A G 3 lions,854385.0,680258.625
19245_O B lion rampant.jpg,O B lion rampant,711067.9375,502554.53125
6352_A V 2 lions passt cr..jpg,A V 2 lions passt cr.,710460.875,505242.0625
4488_A B lion rampant.jpg,A B lion rampant,683357.9375,474499.15625
20149_O S lion rampant.jpg,O S lion rampant,1300685.625,943790.6875
3423_G O 2 lions passt guard.jpg,G O 2 lions passt guard,10412.0869140625,5085.2421875
-1_G O lion rampant.jpg,G O lion rampant,1657027.125,1124069.125
16446_A G 2 lions passt guard cr..jpg,A G 2 lions passt guard cr.,157722.09375,98279.8046875
7350_A V lion rampant.jpg,A V lion rampant,22876.92578125,16553.87109375
6358_A V lion rampant.jpg,A V lion rampant,703273.0,517930.0
17923_B O lion rampant.jpg,B O lion rampant,599960.875,423763.53125
2736_A S 2 lions passt guard cowardly.jpg,A S 2 lions passt guard cowardly,3149245.0,2078928.375
4518_O G 2 lions passt.jpg,O G 2 lions passt,21358.666015625,12819.2060546875
2737_A S 2 lions passt guard.jpg,A S 2 lions passt guard,472269.84375,398069.5625
-1_G O 3 lions passt guard.jpg,G O 3 lions passt guard,21513.232421875,13558.9833984375
2145_O S lion naissant.jpg,O S lion naissant,638113.5,473606.8125
3921_A S 2 lions passt guard.jpg,A S 2 lions passt guard,650552.0,477128.3125
7131_A G lion rampant.jpg,A G lion rampant,826671.0625,617170.75
1319_O S lion rampant.jpg,O S lion rampant,735184.0,544038.4375
9961_O G lion rampant.jpg,O G lion rampant,672959.625,457319.15625
22270_S O lion rampant.jpg,S O lion rampant,603478.75,428738.0625
301_A S 3 lions.jpg,A S 3 lions,121144.671875,69290.4296875
6736_O B lion rampant.jpg,O B lion rampant,792105.4375,587029.25
2539_G A 3 lions.jpg,G A 3 lions,834877.125,638354.0625
17941_A G lion rampant.jpg,A G lion rampant,808294.125,632085.875
9516_O S 3 lions passt guard.jpg,O S 3 lions passt guard,2808575.75,1690876.75
384_O G lion rampant.jpg,O G lion rampant,520635.25,313958.78125
22780_B O lion passt guard cr..jpg,B O lion passt guard cr.,709901.625,536310.75
22269_V A 3 lions.jpg,V A 3 lions,721438.8125,511432.96875
16464_A G lion passt guard.jpg,A G lion passt guard,550173.25,447715.59375
3227_G O 2 lions passt guard.jpg,G O 2 lions passt guard,862655.5,666679.375
22350_A G 2 lions rampant addorsed.jpg,A G 2 lions rampant addorsed,1070673.5,887820.25
-1_B G lion passt.jpg,B G lion passt,81013.5859375,56832.4140625
21398_A B lion rampant.jpg,A B lion rampant,18132.931640625,10052.0263671875
1335_G A lion rampant.jpg,G A lion rampant,834458.1875,628618.5
29489_S O lion rampant.jpg,S O lion rampant,378127.4375,253383.140625
17949_S O 2 lions passt guard.jpg,S O 2 lions passt guard,590216.25,421700.03125
586_S O lion rampant.jpg,S O lion rampant,577475.0,372394.5
392_G A 3 lions.jpg,G A 3 lions,725097.5,524907.0
4382_B A 2 lions passt guard.jpg,B A 2 lions passt guard,591329.5,415385.84375
22918_G O 3 lions passt guard.jpg,G O 3 lions passt guard,802938.0,619768.375
27617_G O lion rampant.jpg,G O lion rampant,702264.0,491365.625
18863_B A lion rampant.jpg,B A lion rampant,1002275.75,686595.875
5007_G O 2 lions passt guard.jpg,G O 2 lions passt guard,665055.8125,468688.90625
7793_G O lion rampant.jpg,G O lion rampant,706605.875,516560.625
19174_O G lion rampant.jpg,O G lion rampant,816639.4375,577024.75
1515_B O lion rampant.jpg,B O lion rampant,677605.8125,501439.09375
22472_A S lion rampant.jpg,A S lion rampant,846649.5,658151.5
17925_G A lion q.f..jpg,G A lion q.f.,731328.25,540431.125
9460_A G lion naissant.jpg,A G lion naissant,156388.96875,96338.65625
6099_A S lion rampant.jpg,A S lion rampant,780103.4375,604907.625
7566_O G lion rampant.jpg,O G lion rampant,170273.71875,117467.671875
1293_O G lion rampant.jpg,O G lion rampant,806470.6875,624526.125
17947_G O lion rampant.jpg,G O lion rampant,678998.125,518639.9375
22627_G O lion rampant.jpg,G O lion rampant,608231.25,434472.9375
22050_B A lion rampant.jpg,B A lion rampant,808753.375,575747.125
20773_A G 2 lions passt.jpg,A G 2 lions passt,1255108.125,838571.6875
17945_A G 3 lions.jpg,A G 3 lions,818365.9375,640010.125
18220_A S lion rampant.jpg,A S lion rampant,3330191.25,2296496.25
398_A S lion rampant.jpg,A S lion rampant,673480.625,517651.34375
249_O G 2 lions passt.jpg,O G 2 lions passt,871046.0625,677358.0625
7881_G O 2 lions passt guard.jpg,G O 2 lions passt guard,689131.375,483920.34375
